resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_watts,kilojoules,device_watts
2,"{'id': 36334506, 'resource_state': 1}",Evening Run,4099.0,1438,1503,9.2,Run,Run,,2025320553,2018-12-19T17:29:02Z,2018-12-19T18:29:02Z,(GMT+01:00) Europe/Paris,3600.0,,,,1,0,0,1,0,"{'id': 'a2025320553', 'summary_polyline': 'ac{sH_a}QnH}D{IgRgN}LwFOeFuF~HyPnDyQeCsLiL`\\`H~GfBsDfDmQ_CyLwL~[hH|GlCcL[~EoIxPtBzC', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606733, 3.103044]","[50.611167, 3.109908]",2.85,4.6,78.5,True,154.4,169.0,False,True,41.6,37.2,2164399677,2164399677,garmin_push_3234843142,False,1,0,False,38.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Lunch Run,2959.2,1018,1021,6.2,Run,Run,,2159870752,2019-02-19T10:55:31Z,2019-02-19T11:55:31Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,0,0,1,0,"{'id': 'a2159870752', 'summary_polyline': '_c{sH}}|QfIkGgJeRwD{EsIsFwEAqF_GpImQtCkQYuDeBcFy@xAiJnVfGpJ|GkWkC{L', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606721, 3.102552]","[50.61004, 3.118572]",2.907,3.6,80.5,True,142.1,154.0,False,True,41.6,37.2,2302722140,2302722140,garmin_push_3396617667,False,0,0,False,15.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Lunch Run,5176.5,1696,1699,15.6,Run,Run,,2159871061,2019-02-19T11:12:59Z,2019-02-19T12:12:59Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,0,0,1,0,"{'id': 'a2159871061', 'summary_polyline': 'sw{sHqb`RgLr[|GrH`BoDjD_RiCiLeLj[bHpHvBoExCwPwCuLwKxZbHbInG{VoC{LqHlRmB~GrG~GqEbKxEjF|F`@vM`K`LpUsAfDq@aA', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.610026, 3.11865]","[50.605643, 3.103223]",3.052,4.8,81.4,True,169.3,181.0,False,True,41.6,37.2,2302722484,2302722484,garmin_push_3396618150,False,0,0,False,80.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Afternoon Run,8375.5,2824,3160,26.5,Run,Run,,2164726200,2019-02-21T12:22:45Z,2019-02-21T13:22:45Z,(GMT+01:00) Europe/Paris,3600.0,,,,3,0,0,1,0,"{'id': 'a2164726200', 'summary_polyline': '{b{sHi~|QrHmGcN}WfA{KvCLbGkGfB`F]uAjIqSrIqb@Kkm@uHqHuCfCgM[qFvCmKnNeKzDsBrG}BXoFfIeFxMxAhM{B~I|PzSfCs@pGcOxC{OU_EiCeEaGrMgF}EKiEmG{JhGkLdEkBfE~JtMp`@OvOkDvVjNzKpJvTyBjBi@gB', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.6067, 3.102619]","[50.605705, 3.103403]",2.966,4.1,81.8,True,160.1,177.0,False,True,47.1,37.2,2307742337,2307742337,garmin_push_3402555486,False,2,0,False,92.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Evening Run,9848.3,4199,4251,48.2,Run,Run,,2175096564,2019-02-25T17:29:44Z,2019-02-25T18:29:44Z,(GMT+01:00) Europe/Paris,3600.0,,,,2,0,0,1,0,"{'id': 'a2175096564', 'summary_polyline': 'uo_tHq_sQoVfXeDq@wLoN{LwBqGkH{SlAcSdYlGjMn@fIq@zHbG`QwEnEiBcAqUcp@`AiCrAd@yBi@oMwZqJuH}G}QM`LhQbRbZjo@d@`FjJlVi@cApBjBbB}ClM|A`EaF~DL`CoEfGg@oAtHeIzLSxDlElAnCrM~GvJhEfMeFcNgGsIyCyN{Ds@bBaLjFcF', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.629237, 3.051614]","[50.638364, 3.039507]",2.345,5.1,77.2,True,134.3,169.0,False,True,28.5,15.0,2318450582,2318450582,garmin_push_3415147461,False,1,0,False,26.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Course à pied en soirée - sortie longue ~13k ~ 1h30,3211.0,1155,1155,13.4,Run,Run,0.0,2175157776,2019-02-25T18:41:20Z,2019-02-25T19:41:20Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,0,0,2,0,"{'id': 'a2175157776', 'summary_polyline': 'eeatHk|pQjCeJVeKsG{f@kFkHsP\\jPYhGrHjF?zBzBxMuZ`EdGzFfUfO{I', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.637797, 3.040862]","[50.629249, 3.051608]",2.78,8.1,,False,,,False,False,26.5,15.5,2318513260,2318513260,696e5155fd4a581f87582301bf11cdf5,False,0,0,False,,,,
2,"{'id': 36334506, 'resource_state': 1}",Lunch Run,10377.4,3315,3315,35.8,Run,Run,,2181327469,2019-02-28T10:59:58Z,2019-02-28T11:59:58Z,(GMT+01:00) Europe/Paris,3600.0,,,,7,2,0,1,0,"{'id': 'a2181327469', 'summary_polyline': '}a{sHa_}QvD_ChAtChBsClNxVlLqD~IgIrDnF|A|MnUqOrRmDxJrI~@kF|MkUmKiWbCwUbE{DzD`L|@nRcFxJv@vBxDUb@iFy@wDmEhGXlI{LbTiDzQhFffA}mAhj@C{XjEq[Ro`@ya@yv@aCxCN|B{BfGyEjDyDcBYaE', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606553, 3.102733]","[50.608026, 3.101201]",3.13,4.2,83.4,True,162.7,186.0,False,True,60.2,38.0,2324826845,2324826845,garmin_push_3422741068,False,2,0,False,120.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Activity,6430.0,2071,2078,18.0,Run,Run,,2208178106,2019-03-12T11:31:42Z,2019-03-12T12:31:42Z,(GMT+01:00) Europe/Paris,3600.0,,,France,2,1,0,1,0,"{'id': 'a2208178106', 'summary_polyline': '{c{sHg~|QpIgGqLaVwJ}FjDqWJoP}S}m@|AoD|NmGhKqSoIhPkGpF}MxE{EwDzCzIyFvJkFtPjAvBjG}FzBpCSfCfGtGwChKfGlHqEdJ|EjFrG\\dMfKbKtTy@vD_DM', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606863, 3.102607]","[50.606143, 3.103038]",3.105,3.8,81.6,True,144.6,181.0,False,True,47.1,37.2,2352458691,2352458691,garmin_push_3455948242,False,2,0,False,32.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Lunch Run,5783.3,2068,2072,15.5,Run,Run,,2229145843,2019-03-21T11:25:02Z,2019-03-21T12:25:02Z,(GMT+01:00) Europe/Paris,3600.0,,,France,1,1,0,2,0,"{'id': 'a2229145843', 'summary_polyline': 'q~zsHki}QbB|ChAcAqKsUaKkFc@iBgG]iFcGpI}PtCkPkCaMeLj[|GrHrByD~CeSqC{J}Kn[|GhHpGcWiCwLyKtY|F`JkE~JhF~FjF?bLlI|M|W_ArB', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606019, 3.10438]","[50.605283, 3.103125]",2.797,3.8,80.3,True,173.4,193.0,False,True,41.6,37.2,2374059627,2374059627,garmin_push_3481772826,False,0,0,False,110.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Evening Run,8349.5,3088,3362,34.9,Run,Run,,2232276856,2019-03-22T17:42:36Z,2019-03-22T18:42:36Z,(GMT+01:00) Europe/Paris,3600.0,,,France,6,0,0,1,0,"{'id': 'a2232276856', 'summary_polyline': 'cn_tHaasQ_Y`ZuVoWgFbB~Ehf@k@rMqB`FmGl@uCvEoD]wFpFgBgJmDgCaAsHcEsFyAeLqE_H`TyZlV_@hCtEPbQ}JzEkI}FwIbZtFlG|CrMdCiE`LqCEcEfAk@rApJdAl@rBmHP_KoFac@|JyOlBgJbE_IpHeOhAXdObVvBjNfAn@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.628988, 3.05185]","[50.629338, 3.052592]",2.704,8.2,79.3,True,148.4,184.0,False,True,29.7,15.5,2377294066,2377294066,garmin_push_3485642051,False,1,0,False,62.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Lunch Run,10108.7,3086,3091,33.0,Run,Run,,2239420452,2019-03-25T11:03:58Z,2019-03-25T12:03:58Z,(GMT+01:00) Europe/Paris,3600.0,,,France,4,1,0,1,0,"{'id': 'a2239420452', 'summary_polyline': '_b{sHa`}QdHkEfQ~YpL_ErFcIjABvDrGfBjMjUaPvRkD|J|Iv@sF|MgUeKqVtEkg@dIpXiCwEYgHiCsHkF`f@vKnWmN|U}CzQlFbeA{p@p[mDcR]eKl@qGm@aLdB}S}DqFuAsEVaD_QePkK|CyMmVuD`Bu@qB', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606561, 3.102898]","[50.60577, 3.103375]",3.276,5.0,83.2,True,145.5,166.0,False,True,60.2,39.5,2384776012,2384776012,garmin_push_3494210213,False,3,0,False,58.0,,,
